Bank ID,Name,Card Number,PIN,Balance,Last Transaction
1,Pete Jones,581058,1,1234567,0
1,Jerry Thomas,886301,222,34000000,-50000
2,Iris Keith,776172,555,150000,0
3,Jaylee Fry,912510,909,3234009,100
3,Patience Cooke,494419,22z,1200000,0
1,Conor Gentry,581001,111,654321,0
1,Selah Marks,581581,444,1000,1200
1,Charlie Matthews,581000,2@aa,200000,0
3,Tristen Wolfe,935610,111,11000,0
1,Kierra Novak,529960,a!!q,5550000,0
2,Maxim Mcclain,717777,123,123000,100
1,Ty Powell,708530,555,0,-3500
2,Jolie Cameron,717776,808,0,0
3,Halle Yang,935100,123,1000000,-20000
3,Nayeli Barajas,912100,a_a,250000000,0
1,Willow Carpenter,538101,234,123000,-13000
3,Tristen Wolfe,415084,111,12000,5000
1,Darren Davenport,729475,999,7000000000,-100000
2,Fiona Boyer,128109,111,11000,-5000000
1,Dale Conway,713462,123,100,0
1,Zaiden Stokes,818564,123,3000000,0
3,Brayden Bowman,973216,303,1200,0
2,Brayden Bowman,433462,303,2000000,-12000
2,Terry Hatfield,778069,888,1230006,0
1,Annie Buckley,314386,101,1000,0
2,Brendan Marks,390470,100,23003000,900
1,Brayden Bowman,183952,3o3,1000000000,0
3,Elliana Blair,164717,111,11000,0
2,Lana Moody,496735,111,4000000,-2000
1,Brynlee Cuevas,143997,311,1000,0
1,Yadira Foster,620411,678,500000,1000
2,Cale Mccall,799621,ijk,90000,0
3,Pierce Banks,242234,111,7860000,0
2,Sophia Moss,823889,66_,5400500,0
2,Sarai Snyder,238624,123,12300,0
1,Clark Trevino,645954,321,340000,550
1,Ean Moss,815168,32i,4500000,0
2,Dixie Petersen,932468,111,100000,-5000
3,John Greer,480909,765,809000,0
3,Adam Garza,728841,123,675090000,-1250000
2,Angelo Potter,388709,555,3000000,900
3,Tori Stein,303710,909,6755000,0
1,Sarai Snyder,807297,111,6000,0
2,Oscar Raymond,987851,700,900,6000
1,Selena Le,282055,123,12500,0
